item_id,item_id_rec,sim_score
48102821,4810215,0.362861959
48102821,70772235,0.364968853
48102821,50319688,0.368255451
48102821,56365197,0.37614643
48102821,52333193,0.378698665
48102821,56885678,0.381349299
48102821,48273751,0.395687801
48102821,22413470,0.415124202
52333193,22413470,0.587971099
52333193,56885678,0.591679247
52333193,56365197,0.597467545
52333193,48273751,0.620803703
52333193,72928043,0.780125279
52333193,35373097,0.796436642
52333193,26348659,0.79760147
52333193,52889826,0.893682808
299461,233129,0.658035513
299461,9830444,0.667925123
299461,4312979,0.67063713
299461,55897,0.68761035
299461,203734,0.710060681
299461,54665,0.765071823
299461,389145,0.786592033
299461,299431,0.927916056
57440329,54383925,0.278277705
57440329,68125744,0.279426701
57440329,59084364,0.281939411
57440329,65395332,0.29704621
57440329,4125015,0.298547584
57440329,71505389,0.314578735
57440329,24408779,0.377623409
57440329,54680052,0.389329828
38458616,41195639,0.453892545
38458616,52244173,0.45492039
38458616,52402442,0.479119862
38458616,53012051,0.496412087
38458616,55049362,0.584744971
38458616,12567795,0.662477967
38458616,23459272,0.692012124
38458616,46623654,0.694771913
12567795,41195639,0.433805716
12567795,7347125,0.435462321
12567795,52402442,0.438106892
12567795,53012051,0.458316942
12567795,55049362,0.543786755
12567795,38458616,0.662477967
12567795,46623654,0.927126907
12567795,23459272,0.92804405
4897521,2860621,0.482518892
4897521,73987485,0.48798363
4897521,8326109,0.493944061
4897521,1011522,0.508576289
4897521,37474291,0.511709473
4897521,53853891,0.512858994
4897521,14785024,0.538055027
4897521,643138,0.538256865
47321729,23852057,0.506605916
47321729,65395332,0.51280122
47321729,49337807,0.517480104
47321729,59322576,0.522310391
47321729,48493605,0.533934686
47321729,46824399,0.605346163
47321729,46841782,0.754657563
47321729,41318362,0.803901464
2638665,1011253,0.280555807
2638665,855600,0.281345066
2638665,19362591,0.288036127
2638665,15388586,0.308365028
2638665,126697,0.309250501
2638665,19408798,0.440448512
2638665,591960,0.91253586
2638665,23368835,0.920357678
25078249,67907870,0.563063879
25078249,9830444,0.567362113
25078249,233129,0.570299201
25078249,299431,0.570518479
25078249,389145,0.586550283
25078249,55897,0.600766723
25078249,54665,0.610300091
25078249,4312979,0.668355142
389145,515550,0.694673363
389145,55897,0.698041965
389145,4312979,0.722867607
389145,74267277,0.776569821
389145,299461,0.786592033
389145,203734,0.794269868
389145,299431,0.815755998
389145,54665,0.83434653
180912,10590207,0.569515345
180912,359484,0.571966252
180912,359483,0.582852382
180912,122012,0.596952801
180912,588800,0.60447007
180912,595655,0.636300037
180912,11241055,0.641461156
180912,208248,0.804703431
7820533,45123323,0.550681054
7820533,74246209,0.552207733
7820533,53447698,0.554954458
7820533,27946536,0.57783454
7820533,65395332,0.618476156
7820533,59322576,0.638290979
7820533,15079790,0.679449943
7820533,23852057,0.687075535
1600005,19408798,0.332789042
1600005,74623725,0.334032676
1600005,13781306,0.357744859
1600005,7320225,0.358686914
1600005,74141526,0.364324381
1600005,21578204,0.36501042
1600005,14790642,0.368897983
1600005,66530645,0.411793584
356188,233157,0.592675919
356188,916784,0.622664528
356188,4312979,0.627728147
356188,916764,0.627760998
356188,515550,0.631703773
356188,233129,0.653704112
356188,55897,0.660345416
356188,11921226,0.98624152
8141868,43017581,0.563447366
8141868,71938293,0.57610344
8141868,8003987,0.588040276
8141868,48483174,0.595869519
8141868,7589409,0.610436574
8141868,25062191,0.651951195
8141868,51668332,0.66886349
8141868,51668230,0.680736889
71523843,65395332,0.533667222
71523843,59322576,0.538846255
71523843,72034454,0.540686788
71523843,32591390,0.598964652
71523843,53447698,0.612572098
71523843,78010530,0.624222744
71523843,57524517,0.695645283
71523843,72290186,0.699178669
51593115,55457074,0.265806676
51593115,77162112,0.289785437
51593115,76480235,0.332810725
51593115,81926706,0.339917855
51593115,57447641,0.395732697
51593115,67709566,0.703050166
51593115,56799815,0.863857431
51593115,53978256,0.897587908
855018,14790642,0.356117815
855018,126697,0.38216641
855018,21578204,0.403604142
855018,680611,0.54631209
855018,126003,0.561584345
855018,126000,0.563303817
855018,125781,0.573558917
855018,855600,0.610342049
58215473,56885678,0.36282583
58215473,73117102,0.388687234
58215473,61224691,0.42544703
58215473,16860936,0.51615949
58215473,14868418,0.558546522
58215473,58291928,0.594865968
58215473,76309587,0.62174541
58215473,58298489,0.641440921
19419738,2066599,0.296171687
19419738,45163095,0.296308568
19419738,46178917,0.296898537
19419738,51352620,0.297062686
19419738,10732310,0.298298703
19419738,26708402,0.299219362
19419738,15129417,0.331569523
19419738,15226911,0.366754229
51884751,72881850,0.467566811
51884751,48091364,0.508373294
51884751,54383925,0.509461149
51884751,54680052,0.555025488
51884751,58671786,0.559390217
51884751,59084364,0.607850981
51884751,59322576,0.694302757
51884751,68793627,0.809701885
8159799,24989503,0.638904738
8159799,19800169,0.645917428
8159799,38151960,0.669091494
8159799,24989957,0.693681731
8159799,20017816,0.701528623
8159799,1714729,0.745089503
8159799,23515481,0.7777748
8159799,8023300,0.999041645
35373097,50319688,0.519672405
35373097,56365197,0.525119789
35373097,48273751,0.5391854
35373097,56885678,0.582260695
35373097,52333193,0.796436642
35373097,72928043,0.90020668
35373097,52889826,0.940312239
35373097,26348659,0.987871165
79857302,21261078,0.287175073
79857302,56365197,0.307031274
79857302,62715859,0.315719731
79857302,79965318,0.336816704
79857302,80030065,0.508441528
79857302,80133022,0.584134652
79857302,79952488,0.592251843
79857302,79887552,0.71394245
49105034,74989061,0.122483612
49105034,37474291,0.12777173
49105034,76105382,0.13196049
49105034,54385590,0.133156482
49105034,57659050,0.13662822
49105034,50817650,0.138362469
49105034,74860089,0.143876398
49105034,67858243,0.199581248
73821826,74215680,0.411717999
73821826,20997191,0.419098313
73821826,19336345,0.428204814
73821826,79239706,0.429094777
73821826,44611291,0.451029042
73821826,34531250,0.458191636
73821826,58473284,0.490287602
73821826,59301695,0.550801973
54017350,60039590,0.607645461
54017350,255023,0.633635536
54017350,74246209,0.644081109
54017350,11477102,0.651401583
54017350,28252100,0.663057619
54017350,1059170,0.682200455
54017350,3220163,0.702683832
54017350,1324787,0.739726464
916784,356188,0.622664528
916784,233157,0.630767961
916784,203734,0.644862708
916784,55897,0.66547649
916784,233129,0.680366681
916784,515550,0.69183421
916784,4312979,0.710995731
916784,916764,0.84514873
21017060,4810215,0.315091713
21017060,75510675,0.318961048
21017060,68528166,0.321217513
21017060,48102821,0.341159689
21017060,50319688,0.376497957
21017060,62715859,0.378193113
21017060,21261078,0.412196617
21017060,34414903,0.796965248
35723184,68528166,0.355865606
35723184,21261078,0.360247681
35723184,57523356,0.361267984
35723184,56885678,0.367785227
35723184,67634480,0.370746227
35723184,50319688,0.398956578
35723184,56365197,0.506709261
35723184,62715859,0.845473864
1714729,24989957,0.655676026
1714729,13918145,0.664673199
1714729,19800169,0.695890624
1714729,23515481,0.724547733
1714729,38151960,0.737059237
1714729,8159799,0.745089503
1714729,8023300,0.752929979
1714729,38144690,0.805384858
76480235,51593115,0.332810725
76480235,77348600,0.33469632
76480235,55457074,0.340535594
76480235,57447641,0.361734923
76480235,56799815,0.370444251
76480235,53978256,0.39996563
76480235,67709566,0.475180777
76480235,77162112,0.8035382
68088752,68100167,0.357483553
68088752,7817447,0.36101139
68088752,68025746,0.361080079
68088752,76198199,0.363576353
68088752,45070823,0.483823571
68088752,71896003,0.967996243
68088752,71907010,0.97963811
68088752,71893707,0.993896305
75643830,4219781,0.569718747
75643830,74853592,0.577262044
75643830,47499193,0.582503101
75643830,8122678,0.591332448
75643830,56597141,0.596505105
75643830,13151574,0.660371463
75643830,13151476,0.661990036
75643830,8122699,0.674021657
11477102,48493605,0.593094589
11477102,28252100,0.646330442
11477102,54017350,0.651401583
11477102,255023,0.740144824
11477102,3220163,0.741047293
11477102,1324787,0.780826715
11477102,1059170,0.806553324
11477102,74246209,0.918238412
62445418,70772235,0.232174853
62445418,15388586,0.243768877
62445418,38458616,0.250226373
62445418,1011253,0.258515913
62445418,58624734,0.308459837
62445418,24852048,0.336325973
62445418,35726089,0.480133886
62445418,29572815,0.665090679
50253867,5511229,0.650052295
50253867,1524461,0.676862506
50253867,25468367,0.680052498
50253867,22436063,0.680052498
50253867,26029929,0.694616183
50253867,17929212,0.697908524
50253867,14313154,0.766384871
50253867,53631890,0.840071949
68025746,68088752,0.361080079
68025746,58566938,0.365492048
68025746,71505389,0.367749834
68025746,4125015,0.369707291
68025746,54384395,0.37710997
68025746,45070823,0.40494649
68025746,71892315,0.986370715
68025746,68100167,0.986793069
1517005,3018149,0.618275551
1517005,586849,0.625878665
1517005,8090713,0.628353991
1517005,461040,0.632264641
1517005,461038,0.633844785
1517005,426223,0.655164207
1517005,1516999,0.929328262
1517005,1457747,0.940351641
52087768,51343843,0.547965294
52087768,52769271,0.555230922
52087768,50711490,0.563615373
52087768,56873256,0.568134451
52087768,55571724,0.574139342
52087768,51030375,0.605399384
52087768,28912009,0.809658049
52087768,34790708,0.848952574
53611551,56799621,0.505745903
53611551,75186039,0.515010465
53611551,71938164,0.519468964
53611551,75643830,0.525500436
53611551,56597141,0.546322681
53611551,47499193,0.566367402
53611551,8122678,0.614897913
53611551,8122699,0.659839598
17629257,1524461,0.354722452
17629257,17929212,0.362266331
17629257,66708181,0.369613724
17629257,32399542,0.425092634
17629257,46037816,0.459526857
17629257,53547999,0.772811146
17629257,17629146,0.822396135
17629257,53547831,0.831646032
67709566,54056610,0.387233806
67709566,55457074,0.452563495
67709566,76480235,0.475180777
67709566,81926706,0.490614941
67709566,51593115,0.703050166
67709566,57447641,0.717399196
67709566,53978256,0.756502103
67709566,56799815,0.757113368
48483174,23291354,0.543115996
48483174,35460128,0.550192626
48483174,1995735,0.569002189
48483174,71075716,0.569685656
48483174,80850379,0.570208842
48483174,8141868,0.595869519
48483174,77718549,0.60441783
48483174,25062191,0.720463791
855600,7320225,0.342145868
855600,14790642,0.384160225
855600,126697,0.389917879
855600,125781,0.483909144
855600,680611,0.49387804
855600,126003,0.498856726
855600,126000,0.501953837
855600,855018,0.610342049
65395332,72290186,0.586257808
65395332,60030176,0.602619238
65395332,7820533,0.618476156
65395332,53447698,0.633299667
65395332,57524517,0.652032738
65395332,15079790,0.660072925
65395332,23852057,0.667481045
65395332,59322576,0.771741924
2860621,1097744,0.52349681
2860621,3171419,0.532205263
2860621,2859451,0.548478663
2860621,73987485,0.6052996
2860621,14785024,0.620081921
2860621,8326109,0.635074426
2860621,53853891,0.641010903
2860621,37474291,0.671090548
49867500,22413470,0.261940411
49867500,74247140,0.265876025
49867500,35726908,0.265998
49867500,70772235,0.266038672
49867500,21399140,0.269321403
49867500,72560404,0.280914364
49867500,52333193,0.293999048
49867500,53297644,0.421198581
487511,8130811,0.557809767
487511,8090713,0.560161851
487511,1516999,0.606640557
487511,10791582,0.849257292
487511,487532,0.930097607
487511,64354130,0.942148258
487511,56922762,0.950416288
487511,487524,0.961388674
50082914,233129,0.508633758
50082914,55897,0.514272588
50082914,916784,0.528649172
50082914,916764,0.53995309
50082914,515550,0.540027733
50082914,56196502,0.588480101
50082914,2462825,0.605457893
50082914,554912,0.634140425
646020,359483,0.541439287
646020,11522917,0.549022515
646020,11023405,0.567695954
646020,588800,0.57070189
646020,11241055,0.584839536
646020,361277,0.585699575
646020,52192239,0.604543106
646020,595655,0.61839658
50237107,7739073,0.534776077
50237107,56873256,0.580520202
50237107,28912009,0.589944689
50237107,4216333,0.593728376
50237107,34790708,0.636014072
50237107,4331913,0.647176045
50237107,50711490,0.708209484
50237107,52769271,0.722024249
1457747,73315307,0.583022364
1457747,10791582,0.583471582
1457747,461040,0.591669025
1457747,461038,0.592423427
1457747,8090713,0.628002058
1457747,426223,0.633425701
1457747,1516999,0.854971224
1457747,1517005,0.940351641
32111995,28912009,0.452515886
32111995,51343843,0.482092879
32111995,51030375,0.484521744
32111995,7739073,0.625319872
32111995,7734288,0.826025673
32111995,5371673,0.839462238
32111995,2669195,0.857751627
32111995,3922389,0.861867996
66530645,51059393,0.396727815
66530645,28733908,0.404658969
66530645,71883135,0.407657217
66530645,1600005,0.411793584
66530645,74623725,0.414352011
66530645,14790642,0.431376542
66530645,21578204,0.441194197
66530645,74141526,0.446559854
35726089,21399140,0.24553086
35726089,4889751,0.246298521
35726089,25965194,0.261599477
35726089,22336000,0.283745073
35726089,35726908,0.310263012
35726089,56020727,0.31204436
35726089,62445418,0.480133886
35726089,29572815,0.547718487
299431,9830444,0.67353923
299431,233129,0.70200664
299431,4312979,0.706074938
299431,55897,0.720579588
299431,203734,0.73830192
299431,54665,0.785692515
299431,389145,0.815755998
299431,299461,0.927916056
23503622,38130250,0.345385127
23503622,25761647,0.346793757
23503622,66940778,0.352877902
23503622,8826583,0.367487882
23503622,41265405,0.415104488
23503622,68579717,0.426434097
23503622,75510218,0.516064262
23503622,75520677,0.555658525
46841782,7820533,0.488627859
46841782,65395332,0.504911803
46841782,59322576,0.517978663
46841782,68793627,0.519999295
46841782,48493605,0.535746922
46841782,46824399,0.558984497
46841782,41318362,0.740291257
46841782,47321729,0.754657563
8326109,1097744,0.53839832
8326109,50326880,0.540829498
8326109,3171419,0.600087019
8326109,73987485,0.631141876
8326109,2860621,0.635074426
8326109,14785024,0.658723345
8326109,53853891,0.688272396
8326109,37474291,0.705242317
51668230,25062191,0.610792275
51668230,23306883,0.614507752
51668230,7589409,0.616100558
51668230,19772753,0.651720647
51668230,49658272,0.652997348
51668230,71938293,0.657936355
51668230,8141868,0.680736889
51668230,51668332,0.950776085
74850324,54485907,0.465746762
74850324,46472383,0.467090667
74850324,63912442,0.471097692
74850324,77870921,0.490757035
74850324,54487123,0.507955551
74850324,75337445,0.517398729
74850324,36710007,0.53254787
74850324,56458881,0.553979008
34520643,2546979,0.407760891
34520643,25402524,0.425397958
34520643,32021463,0.438849675
34520643,50227423,0.553311726
34520643,40691443,0.623056766
34520643,4539349,0.674552913
34520643,25248696,0.711969714
34520643,24489730,0.905616344
56515332,49658272,0.45730178
56515332,77718549,0.476622156
56515332,22159161,0.478061103
56515332,48483174,0.482341189
56515332,25062191,0.533279572
56515332,80850379,0.55514459
56515332,1995735,0.640146343
56515332,14970347,0.850946023
10860173,71655498,0.535227284
10860173,47452735,0.553448423
10860173,13745119,0.563110053
10860173,29950661,0.618566217
10860173,13119283,0.654779983
10860173,56515226,0.666558531
10860173,22028042,0.692613427
10860173,7614405,0.697440886
52889826,56365197,0.552253513
52889826,48273751,0.553324392
52889826,50319688,0.554590609
52889826,56885678,0.564094995
52889826,72928043,0.885867685
52889826,52333193,0.893682808
52889826,26348659,0.939774602
52889826,35373097,0.940312239
17019841,35726908,0.182910542
17019841,75301142,0.189870656
17019841,22336000,0.196987134
17019841,19362591,0.198909497
17019841,15226911,0.209951311
17019841,4889751,0.591349133
17019841,59348238,0.674891145
17019841,59471077,0.791197193
65074378,3416201,0.492554395
65074378,2585745,0.516542481
65074378,28937832,0.554690644
65074378,56515226,0.558037807
65074378,7614405,0.57170474
65074378,2927891,0.580372845
65074378,13745119,0.60083827
65074378,74853954,0.979465588
22436063,1524463,0.676616675
22436063,50253867,0.680052498
22436063,14313154,0.681345279
22436063,10671551,0.693574128
22436063,5511229,0.846946569
22436063,1524461,0.919187958
22436063,17929212,0.966115911
22436063,25468367,1
20139040,4028301,0.39355491
20139040,19242072,0.426241243
20139040,51720703,0.427874775
20139040,13580400,0.431196008
20139040,14069536,0.447521773
20139040,4281649,0.48379919
20139040,75396549,0.541032815
20139040,1935009,0.638931505
2927891,71655498,0.569733727
2927891,74853954,0.573490995
2927891,13119283,0.576344275
2927891,29950661,0.577742262
2927891,65074378,0.580372845
2927891,7614405,0.655978532
2927891,56515226,0.703689197
2927891,13745119,0.944927795
46563491,26348659,0.363730682
46563491,50319688,0.367613143
46563491,22413470,0.369567658
46563491,56885678,0.376623441
46563491,52333193,0.384566696
46563491,72928043,0.391611974
46563491,56365197,0.398746235
46563491,74945616,0.40042246
54056610,77162112,0.275964097
54056610,81926706,0.285514451
54056610,55457074,0.326930962
54056610,76480235,0.32749314
54056610,66708393,0.328503805
54056610,53978256,0.345858446
54056610,77348600,0.349846514
54056610,67709566,0.387233806
77870921,75337445,0.491318894
77870921,19772651,0.502968763
77870921,54485907,0.509472446
77870921,56458881,0.511494773
77870921,36710007,0.51581454
77870921,54487123,0.535454927
77870921,63912442,0.545336179
77870921,25325318,0.55083442
35607267,27977454,0.304997728
35607267,35723184,0.327641624
35607267,75551911,0.343334478
35607267,62715859,0.369401783
35607267,56365197,0.436384817
35607267,67634480,0.439290915
35607267,79965318,0.444125628
35607267,54406343,0.455511068
72519492,49498981,0.168064784
72519492,38762682,0.168686801
72519492,12411687,0.177526368
72519492,15388586,0.182552141
72519492,74247140,0.183018616
72519492,72560404,0.229909852
72519492,51971799,0.260168374
72519492,58240250,0.409514514
70772235,21261078,0.333301265
70772235,22413470,0.351148527
70772235,53896395,0.351564813
70772235,72560404,0.360908789
70772235,74247140,0.363148538
70772235,48102821,0.364968853
70772235,59130781,0.372806491
70772235,4810215,0.39758945
1059892,249953,0.577477719
1059892,54017205,0.602634263
1059892,15682170,0.603548046
1059892,60039593,0.640393541
1059892,234886,0.680911424
1059892,49661643,0.681794548
1059892,3220143,0.744099246
1059892,1060082,0.970267222
54385590,14438455,0.238492753
54385590,74989061,0.241171682
54385590,74860089,0.241980194
54385590,75301142,0.242334594
54385590,68528166,0.243684167
54385590,19362591,0.254497087
54385590,51049077,0.479035416
54385590,45100535,0.483907768
487524,8090713,0.582433398
487524,8130811,0.585773322
487524,1516999,0.626733957
487524,487532,0.923372372
487524,10791582,0.924669819
487524,64354130,0.92470525
487524,56922762,0.928507196
487524,487511,0.961388674
58566938,4125015,0.539118473
58566938,67262439,0.55662447
58566938,68467585,0.561645796
58566938,54384395,0.563368886
58566938,68125744,0.579112805
58566938,71505389,0.579471392
58566938,76198199,0.621901955
58566938,75754994,0.843485098
359484,10140056,0.566120361
359484,180912,0.571966252
359484,208248,0.572647446
359484,122012,0.599399816
359484,359483,0.603712107
359484,515550,0.608055775
359484,555019,0.614169123
359484,359480,0.631050068
56196502,55897,0.356397496
56196502,515550,0.357740051
56196502,233129,0.372753711
